product_id,edr_volume,edr_subdir,edr_doy,edr_product,cdr_volume,cdr_subdir,cdr_doy,cdr_product,orbit_number,start_time,stop_time,start_frame,center_frame_index,n_frames_for_square_crop,sun_elevation_deg,incidence_angle_deg,center_lat_deg,center_lon_deg
M1327259011CE,LROLRC_0041B,ESM4,2019305,M1327259011CE,LROLRC_1041B,ESM4,2019305,M1327258536CC,46631,2019-11-01 14:49:03.664000+00:00,2019-11-01 15:04:03.789000+00:00,340.0,379.0,78,58.9767988558534,31.03,7.3512,159.3705
M1327259916CE,LROLRC_0041B,ESM4,2019305,M1327259916CE,LROLRC_1041B,ESM4,2019305,M1327259916CC,46632,2019-11-01 15:04:08.150000+00:00,2019-11-01 15:10:07.525000+00:00,89.0,125.0,72,41.97153904680031,48.03,38.8694,161.9174
M1327260279CE,LROLRC_0041B,ESM4,2019305,M1327260279CE,LROLRC_1041B,ESM4,2019305,M1327259916CC,46632,2019-11-01 15:10:11.779000+00:00,2019-11-01 15:15:26.092000+00:00,71.5,107.0,71,28.776324289394267,61.23,55.6141,164.2885
M1327260598CE,LROLRC_0041B,ESM4,2019305,M1327260598CE,LROLRC_1041B,ESM4,2019305,M1327259916CC,46632,2019-11-01 15:15:30.399000+00:00,2019-11-01 15:20:51.024000+00:00,73.0,108.0,70,15.469609159585701,74.53,71.2885,169.7974
M1327264823CE,LROLRC_0041B,ESM4,2019305,M1327264823CE,LROLRC_1041B,ESM4,2019305,M1327264390CC,46632,2019-11-01 16:25:55.750000+00:00,2019-11-01 16:32:37.375000+00:00,205.0,238.0,66,19.399323568485542,70.6,-67.6482,149.0953
M1327265229CE,LROLRC_0041B,ESM4,2019305,M1327265229CE,LROLRC_1041B,ESM4,2019305,M1327264823CC,46632,2019-11-01 16:32:41.677000+00:00,2019-11-01 16:38:00.427000+00:00,136.0,170.0,68,35.03734123197544,54.96,-48.8628,154.785
M1327265552CE,LROLRC_0041B,ESM4,2019305,M1327265552CE,LROLRC_1041B,ESM4,2019305,M1327264823CC,46632,2019-11-01 16:38:04.730000+00:00,2019-11-01 16:45:27.542000+00:00,180.0,218.0,76,48.67068755056002,41.33,-29.1023,156.4491
M1327265999CE,LROLRC_0041B,ESM4,2019305,M1327265999CE,LROLRC_1041B,ESM4,2019305,M1327265552CC,46632,2019-11-01 16:45:31.846000+00:00,2019-11-01 17:00:29.502000+00:00,344.0,383.0,78,59.55755910037704,30.45,4.8508,158.1259
M1327266901CE,LROLRC_0041B,ESM4,2019305,M1327266901CE,LROLRC_1041B,ESM4,2019305,M1327266901CC,46633,2019-11-01 17:00:33.809000+00:00,2019-11-01 17:06:39.996000+00:00,90.5,126.0,71,43.75667380340442,46.25,36.5025,160.5992
M1327267272CE,LROLRC_0041B,ESM4,2019305,M1327267272CE,LROLRC_1041B,ESM4,2019305,M1327266901CC,46633,2019-11-01 17:06:44.304000+00:00,2019-11-01 17:12:10.866000+00:00,74.5,110.0,71,30.36442533820353,59.64,53.722,162.8477
